serial_number_tim,serial_number_forn,createdBy,createdAt,updatedBy,updatedAt,num_consegna,workrequestid,externalrefid,associated_at,associated_by,causale,anomalia,status,wr_prodotti,cod_terr_sap,cod_nmu,codice_impresa_name,impianto,impianto_regman,status_regman,sent_to_sap,cod_proj,mac_address,serial_number_cpe,cod_terr_sap_mos,check_NMU,desc_nmu,tipo_task,flag_olo,check_u0009t,importo_u0009t,NMU WR,tipo_inserimento,client_type,data_completamento_wr,area,codice_riscontro,codice_impresa_utilizzo,descr_impresa_utilizzo,tipo_famiglia,cod_gruppo_tec,File Allegato,contatore,causale_addebito,note_addebito,post_delivery,wr_collaudo_one,impianto_collaudo_one,data_collaudo_one,status_collaudo_one,equivalenza_prod_applicabile,validated_at,validated_by,reverse,note,one_step,approved_at,approved_by
%R091785631N0325104EZB,ZTEEGANR3401040,SAP File,2025-05-09T05:01:09.329Z,Procedura Check_u0009t,2025-07-02T01:00:12.171Z,8403068821,90839954,B36153208,2025-06-30T14:25:09.301Z,REST_2872,UM per Vendita,,Validato,false,IMSUS016,785631,2872,0931562780,000931562780,MATCH REGMAN OK,,TLC20SF001,E4604D77FBD7,,,WR SENZA CONSEGNA PRODOTTI,nuovo modem XDSL ZTE,DELIVERY,NO,OK,196.72,,Scansionato,R,2025-06-30T16:14:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,90839954,000931562780,2025-06-30T16:01:45.000Z,MATCH COLLAUDO_ONE OK,,2025-07-01T07:44:08.765Z,X1015748,,,,,
%R091785631N0325104EYQ,ZTEEGANR3401019,SAP File,2025-05-09T05:01:09.185Z,RegmanTool,2025-07-03T04:57:31.083Z,8403068821,90563417,B35899287,2025-06-27T09:30:03.902Z,REST_2872,UM per Vendita,,Validato,true,IMSUS016,785631,2872,0931790417,000931790417,MATCH REGMAN OK,,TLC230DF01,E4604D77FB83,,,NMU NON COMPATIBILE,nuovo modem XDSL ZTE,DELIVERY,NO,,,771320,Scansionato,R,2025-06-27T11:24:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,90563417,000931790417,2025-06-27T11:10:05.000Z,MATCH COLLAUDO_ONE OK,,2025-06-30T08:16:42.402Z,X1015748,,,,,
%5393782473N04251A2887,CP2316EDFUM,SAP File,2025-07-03T04:58:57.399Z,SAP File,2025-07-03T04:58:57.399Z,8403116839,,,,,,,Attribuito,false,IMSUS016,782473,,,,NO DISCOVERATO SU REGMAN,,,D4925E60A579,,,,FW NeXXt One Gpon FGA221DFWB,,,,,,,,,,,,,Router,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%5393782473N04251A2884,CP2316EDFUG,SAP File,2025-07-03T04:58:57.353Z,SAP File,2025-07-03T04:58:57.353Z,8403116839,,,,,,,Attribuito,false,IMSUS016,782473,,,,NO DISCOVERATO SU REGMAN,,,D4925E60A56F,,,,FW NeXXt One Gpon FGA221DFWB,,,,,,,,,,,,,Router,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%5393782473N04251A2802,CP2316EDFMF,SAP File,2025-07-03T04:58:57.294Z,SAP File,2025-07-03T04:58:57.294Z,8403116839,,,,,,,Attribuito,false,IMSUS016,782473,,,,NO DISCOVERATO SU REGMAN,,,D4925E60A39F,,,,FW NeXXt One Gpon FGA221DFWB,,,,,,,,,,,,,Router,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%5393782472N01241A1734,F2308DHH0007417,SAP File,2025-07-03T04:58:57.246Z,SAP File,2025-07-03T04:58:57.246Z,8403116833,,,,,,,Attribuito,false,IMSUS016,782472,,,,NO DISCOVERATO SU REGMAN,,,0C67148C2FA1,,,,FW BOOSTER EXT RP571Q FW,,,,,,,,,,,,,Altro,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%5393782472N01241A1729,F2308DHH0007412,SAP File,2025-07-03T04:58:57.201Z,SAP File,2025-07-03T04:58:57.201Z,8403116833,,,,,,,Attribuito,false,IMSUS016,782472,,,,NO DISCOVERATO SU REGMAN,,,0C67148C2F51,,,,FW BOOSTER EXT RP571Q FW,,,,,,,,,,,,,Altro,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%5393787081N05251A6017,22513E2004036,SAP File,2025-07-03T04:58:57.155Z,SAP File,2025-07-03T04:58:57.155Z,8403116816,,,,,,,Attribuito,false,IMSUS016,787081,,,,NO DISCOVERATO SU REGMAN,,,98BA5FFBE930,,,,FW TP Link XB 432V WIND3HUB,,,,,,,,,,,,,Router,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%5393787081N05251A4455,22513E2000330,SAP File,2025-07-03T04:58:57.106Z,SAP File,2025-07-03T04:58:57.106Z,8403116816,,,,,,,Attribuito,false,IMSUS016,787081,,,,NO DISCOVERATO SU REGMAN,,,98BA5FFB7560,,,,FW TP Link XB 432V WIND3HUB,,,,,,,,,,,,,Router,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%5393782471N05251A1834,F2203DH90021572,SAP File,2025-07-03T04:58:57.057Z,SAP File,2025-07-03T04:58:57.057Z,8403115947,,,,,,,Attribuito,false,IMSUS016,782471,,,,NO DISCOVERATO SU REGMAN,,,5876AC2A9831,,,,FW NEXXT Gpon FG4225R FW,,,,,,,,,,,,,Router,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091785631N0325105FAN,ZTEEGANR3M05446,SAP File,2025-07-03T04:58:57.009Z,SAP File,2025-07-03T04:58:57.009Z,8403114951,,,,,,,Attribuito,false,IMSUS016,785631,,,,NO DISCOVERATO SU REGMAN,,,F8731A8E619C,,,,nuovo modem XDSL ZTE,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N072210DU0R,622312009288,SAP File,2025-07-01T05:00:54.809Z,SAP File,2025-07-01T05:00:54.809Z,8403115238,,,,,,,Attribuito,false,IMSUS016,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E86D8D,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
