serial_number_tim,serial_number_forn,createdBy,createdAt,updatedBy,updatedAt,num_consegna,workrequestid,externalrefid,associated_at,associated_by,causale,anomalia,status,wr_prodotti,cod_terr_sap,cod_nmu,codice_impresa_name,impianto,impianto_regman,status_regman,sent_to_sap,cod_proj,mac_address,serial_number_cpe,cod_terr_sap_mos,check_NMU,desc_nmu,tipo_task,flag_olo,check_u0009t,importo_u0009t,NMU WR,tipo_inserimento,client_type,data_completamento_wr,area,codice_riscontro,codice_impresa_utilizzo,descr_impresa_utilizzo,tipo_famiglia,cod_gruppo_tec,File Allegato,contatore,causale_addebito,note_addebito,post_delivery,wr_collaudo_one,impianto_collaudo_one,data_collaudo_one,status_collaudo_one,equivalenza_prod_applicabile,validated_at,validated_by,reverse,note,one_step,approved_at,approved_by
%5393782472N01241A1656,F2308DHH0007333,SAP File,2025-07-03T04:58:57.648Z,SAP File,2025-07-03T04:58:57.648Z,8403117688,,,,,,,Attribuito,false,IMSUS017,782472,,,,NO DISCOVERATO SU REGMAN,,,0C67148C2A61,,,,FW BOOSTER EXT RP571Q FW,,,,,,,,,,,,,Altro,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%5393782473N04251A2641,CP2422ED59D,SAP File,2025-07-03T04:58:57.598Z,SAP File,2025-07-03T04:58:57.598Z,8403117686,,,,,,,Attribuito,false,IMSUS017,782473,,,,NO DISCOVERATO SU REGMAN,,,08C7F5368F0B,,,,FW NeXXt One Gpon FGA221DFWB,,,,,,,,,,,,,Router,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%5393787081N05251A0347,22510C6000793,SAP File,2025-07-03T04:58:57.549Z,SAP File,2025-07-03T04:58:57.549Z,8403117684,,,,,,,Attribuito,false,IMSUS017,787081,,,,NO DISCOVERATO SU REGMAN,,,98BA5F7B52F0,,,,FW TP Link XB 432V WIND3HUB,,,,,,,,,,,,,Router,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%5393787628N05251A0335,F23080000020134,SAP File,2025-07-03T04:58:57.503Z,SAP File,2025-07-03T04:58:57.503Z,8403117462,,,,,,,Attribuito,false,IMSUS017,787628,,,,NO DISCOVERATO SU REGMAN,,,,,,,VODAFONE BUNDLE NEW,,,,,,,,,,,,,Router,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%5393787628N05251A0334,F23080000020102,SAP File,2025-07-03T04:58:57.452Z,SAP File,2025-07-03T04:58:57.452Z,8403117462,,,,,,,Attribuito,false,IMSUS017,787628,,,,NO DISCOVERATO SU REGMAN,,,,,,,VODAFONE BUNDLE NEW,,,,,,,,,,,,,Router,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DVK8,622312074087,SAP File,2025-07-02T04:58:14.959Z,SAP File,2025-07-02T04:58:14.959Z,8403115202,,,,,,,Attribuito,false,IMSUS017,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E98393,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DVK7,622312074645,SAP File,2025-07-02T04:58:14.913Z,SAP File,2025-07-02T04:58:14.913Z,8403115202,,,,,,,Attribuito,false,IMSUS017,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E98381,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DVK6,622312074098,SAP File,2025-07-02T04:58:14.867Z,SAP File,2025-07-02T04:58:14.867Z,8403115202,,,,,,,Attribuito,false,IMSUS017,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E98375,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DVK1,622312074429,SAP File,2025-07-02T04:58:14.816Z,SAP File,2025-07-02T04:58:14.816Z,8403115202,,,,,,,Attribuito,false,IMSUS017,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E98327,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DVJY,622312074554,SAP File,2025-07-02T04:58:14.760Z,SAP File,2025-07-02T04:58:14.760Z,8403115202,,,,,,,Attribuito,false,IMSUS017,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E98315,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DVJX,622312074145,SAP File,2025-07-02T04:58:14.711Z,SAP File,2025-07-02T04:58:14.711Z,8403115202,,,,,,,Attribuito,false,IMSUS017,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E98303,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DVJS,622312074418,SAP File,2025-07-02T04:58:14.661Z,SAP File,2025-07-02T04:58:14.661Z,8403115202,,,,,,,Attribuito,false,IMSUS017,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E982D9,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DVJP,622312075375,SAP File,2025-07-02T04:58:14.610Z,SAP File,2025-07-02T04:58:14.610Z,8403115202,,,,,,,Attribuito,false,IMSUS017,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E982C4,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
