serial_number_tim,serial_number_forn,createdBy,createdAt,updatedBy,updatedAt,num_consegna,workrequestid,externalrefid,associated_at,associated_by,causale,anomalia,status,wr_prodotti,cod_terr_sap,cod_nmu,codice_impresa_name,impianto,impianto_regman,status_regman,sent_to_sap,cod_proj,mac_address,serial_number_cpe,cod_terr_sap_mos,check_NMU,desc_nmu,tipo_task,flag_olo,check_u0009t,importo_u0009t,NMU WR,tipo_inserimento,client_type,data_completamento_wr,area,codice_riscontro,codice_impresa_utilizzo,descr_impresa_utilizzo,tipo_famiglia,cod_gruppo_tec,File Allegato,contatore,causale_addebito,note_addebito,post_delivery,wr_collaudo_one,impianto_collaudo_one,data_collaudo_one,status_collaudo_one,equivalenza_prod_applicabile,validated_at,validated_by,reverse,note,one_step,approved_at,approved_by
%R091785632N0325105N72,ZTE0QTFR3628759,SAP File,2025-05-23T05:01:28.513Z,Procedura Check_u0009t,2025-06-26T01:00:12.816Z,8403081403,90706418,B36035286,2025-06-25T08:25:03.489Z,REST_2872,UM per Vendita,,Validato,false,IMSUS230,785632,2872,0909223696,000909223696,MATCH REGMAN OK,,TLC20SF001,F01B24BE3962,,,WR SENZA CONSEGNA PRODOTTI,TIM HUB Pro ZTE,DELIVERY,NO,OK,196.72,,Digitato,R,2025-06-25T10:17:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,90706418,000909223696,2025-06-24T15:26:24.000Z,MATCH COLLAUDO_ONE OK,,2025-06-25T14:19:43.963Z,X1015748,,,,,
%R091785631N0125102Y63,ZTEEGANR1P00271,SAP File,2025-04-29T05:05:57.218Z,CollaudoOneTool_Process_PostProcess,2025-07-02T06:18:27.468Z,8403059842,90595901,B35928754,2025-07-01T13:30:03.726Z,REST_2872,UM per Vendita,,Validato,false,IMSUS230,785631,2872,0909781305,000909781305,MATCH REGMAN OK,,,DC5193BCBBD8,,,ROUTER LIBERO,nuovo modem XDSL ZTE,DELIVERY,NO,KO,,"INST01,TLC6",Digitato,B,2025-07-01T15:19:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,2025-07-01T16:13:18.841Z,X1015748,,,,,
%R091785631N0125102Y61,ZTEEGANR1P00269,SAP File,2025-04-29T05:05:57.170Z,14020289,2025-06-27T11:47:59.415Z,8403059842,90729791,CRV0010246186390004649701,2025-06-24T15:40:22.770Z,REST_2872,UM per sostituzione su guasto,MATCH TELEFONICO REGMAN KO,Da Esaminare,false,IMSUS230,785631,2872,0907388413,,MATCH REGMAN KO,,,DC5193BCBBD0,ZTE9G9LN3329300,,,nuovo modem XDSL ZTE,ASSURANCE,NO,KO,,,Digitato,,2025-06-24T17:34:00.000Z,AOA.SUD,1,2872,SIELTE S.P.A.,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,2025-06-25T14:19:43.963Z,X1015748,,,,,
%5393787628N05251A0830,F22100000003491,SAP File,2025-07-01T05:00:58.954Z,SAP File,2025-07-01T05:00:58.954Z,8403116837,,,,,,,Attribuito,false,IMSUS230,787628,,,,NO DISCOVERATO SU REGMAN,,,,,,,VODAFONE BUNDLE NEW,,,,,,,,,,,,,Router,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%5393782471N05251A1917,F2203DH90024556,SAP File,2025-07-01T05:00:58.904Z,SAP File,2025-07-01T05:00:58.904Z,8403116126,,,,,,,Attribuito,false,IMSUS230,782471,,,,NO DISCOVERATO SU REGMAN,,,5876AC2B52B1,,,,FW NEXXT Gpon FG4225R FW,,,,,,,,,,,,,Router,106,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091785631N0325105MST,ZTEEGANR3N02881,SAP File,2025-07-01T05:00:58.861Z,SAP File,2025-07-01T05:00:58.861Z,8403114702,,,,,,,Attribuito,false,IMSUS230,785631,,,,NO DISCOVERATO SU REGMAN,,,F8731A8EF988,,,,nuovo modem XDSL ZTE,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV1H,622312085404,SAP File,2025-06-28T05:01:34.333Z,SAP File,2025-06-28T05:01:34.333Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E9726F,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV1G,622312085380,SAP File,2025-06-28T05:01:34.291Z,SAP File,2025-06-28T05:01:34.291Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E9726C,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV19,622312026630,SAP File,2025-06-28T05:01:34.233Z,SAP File,2025-06-28T05:01:34.233Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E9724F,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV0X,622312026436,SAP File,2025-06-28T05:01:34.191Z,SAP File,2025-06-28T05:01:34.191Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E971FF,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV0U,622302281223,SAP File,2025-06-28T05:01:34.148Z,SAP File,2025-06-28T05:01:34.148Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E971EB,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV0T,622312083782,SAP File,2025-06-28T05:01:34.104Z,SAP File,2025-06-28T05:01:34.104Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E971D6,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV0S,622312086554,SAP File,2025-06-28T05:01:34.060Z,SAP File,2025-06-28T05:01:34.060Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E9717B,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV0R,622312086203,SAP File,2025-06-28T05:01:34.007Z,SAP File,2025-06-28T05:01:34.007Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E971B4,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV0Q,622312084478,SAP File,2025-06-28T05:01:33.960Z,SAP File,2025-06-28T05:01:33.960Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E971BA,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV0P,622312079128,SAP File,2025-06-28T05:01:33.921Z,SAP File,2025-06-28T05:01:33.921Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E971B7,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV0O,622312086418,SAP File,2025-06-28T05:01:33.881Z,SAP File,2025-06-28T05:01:33.881Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E971AE,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV0M,622312086509,SAP File,2025-06-28T05:01:33.838Z,SAP File,2025-06-28T05:01:33.838Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E971AB,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV0K,622312079060,SAP File,2025-06-28T05:01:33.789Z,SAP File,2025-06-28T05:01:33.789Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E971A2,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV0F,622312086441,SAP File,2025-06-28T05:01:33.735Z,SAP File,2025-06-28T05:01:33.735Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E97193,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV0C,622312084025,SAP File,2025-06-28T05:01:33.693Z,SAP File,2025-06-28T05:01:33.693Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E9718A,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV09,622312086485,SAP File,2025-06-28T05:01:33.650Z,SAP File,2025-06-28T05:01:33.650Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E97184,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV05,622312085324,SAP File,2025-06-28T05:01:33.604Z,SAP File,2025-06-28T05:01:33.604Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E97175,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DV00,622312026516,SAP File,2025-06-28T05:01:33.562Z,SAP File,2025-06-28T05:01:33.562Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E97169,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N082210DUZY,622312027086,SAP File,2025-06-28T05:01:33.523Z,SAP File,2025-06-28T05:01:33.523Z,8403115199,,,,,,,Attribuito,false,IMSUS230,780412,,,,NO DISCOVERATO SU REGMAN,,,F04DD4E97163,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
